ID;Principle;Description;Reason / Goal;Status;Related Systems
DP-001;Modular by design;The R&D system should consist of independent modules that can be added, removed, or expanded without breaking the core game.;Allow different complexity levels and future expansion.;Core principle;Zombies, Oil, Espionage, Economy
DP-002;Data-driven structure;Technologies, effects, prerequisites, categories, and relationships should exist as structured data rather than being hardcoded into visualisations or scripts.;Enable multiple outputs and tools from the same underlying data.;Core principle;ODS, CSV, Python, Graphviz, Web
DP-003;Single source of truth;The base data file should contain the authoritative definitions of technologies and relevant system data.;Prevent inconsistencies between documentation, code, and visualisations.;Core principle;ODS, Python, Graphviz
DP-004;Strategic research over pure randomness;Research should create meaningful strategic planning rather than relying purely on random technology selection.;Allow players to pursue technological strategies and make informed commitments.;Core principle;Technology tree, Research
DP-005;Meaningful economic choices;Research capacity should compete with other economic uses of IPCs.;Create genuine strategic trade-offs.;Core principle;IPC economy, Research Points
DP-006;Historical inspiration, not historical limitation;Technologies should be inspired by WWII developments but adapted where necessary for gameplay.;Preserve the Axis & Allies feel while allowing alternate histories.;Core principle;All technologies
DP-007;Balance over realism;Historical accuracy may be modified when necessary for gameplay balance.;Prevent realism from creating dominant or unfun mechanics.;Core principle;Game balance
DP-008;Clear technological prerequisites;Advanced technologies require appropriate preceding technologies or other defined prerequisites.;Create meaningful technological progression and prevent arbitrary jumps.;Core principle;Technology graph
DP-009;Incremental technological progression;Powerful capabilities should normally be reached through discrete, meaningful intermediate technologies rather than through a single leap or arbitrary multi-stage payment process for one technology.;Make technological development progressive while preserving the discrete nature of technologies.;Core principle;Tiers, prerequisites, Research
DP-010;Avoid dead-end research;"Technology branches should provide useful choices, meaningful capabilities, or lead toward meaningful developments; an item may legitimately be the endpoint of a technological dependency trail.";Prevent genuinely unproductive research paths without requiring every technology to unlock another technology.;Core principle;Technology tree
DP-011;Multiple technological routes;Where appropriate, important capabilities may be reachable through different prerequisite paths.;Support strategic diversity and alternate approaches.;Core principle;Technology graph
DP-012;AND/OR prerequisite logic;Alternatives within a dependency group are OR requirements, while separate dependency groups are combined as AND requirements.;Support nuanced technological dependencies while keeping their semantics explicit and machine-readable.;Established data-model rule;Technology graph, Data model
DP-013;Visual clarity;The technology tree should remain readable and navigable as it expands.;Preserve usability for human players.;Core principle;Graphviz, SVG
DP-014;Separate logic and presentation;The meaning, rules, and relationships of the technology system should be independent of how they are visually displayed.;Permit multiple visualisation and interface formats without changing the underlying system.;Core architectural principle;SVG, Graphviz, Web
DP-015;Interactive future compatibility;The data structure should support an eventual interactive technology-tree interface, including filtering, highlighting, dependency exploration, module selection, and research-state tracking.;Allow the system to evolve into interactive tools without restructuring its fundamental data.;Future goal;Web interface
DP-016;National identity;Technologies and technological paths should reflect national strengths, weaknesses, or specialisation where appropriate.;Preserve Axis & Allies national identity and flavour.;Core principle;Nation-specific technology
DP-017;Optional complexity layers;The basic R&D system should remain playable while optional modules can add additional depth.;Allow groups to choose their desired complexity.;Core principle;Advanced modules
DP-018;No unnecessary micromanagement;Mechanics should create meaningful strategic decisions rather than excessive bookkeeping or repetitive administration.;Keep the system practical during an actual game.;Core principle;All mechanics
DP-019;Automation-friendly;The system should be structured so calculations, validation, visualisations, and repetitive tasks can eventually be automated.;Reduce manual maintenance and improve reliability.;Core principle;Python tooling
DP-020;Future-proof identifiers;Technologies and other data objects should have stable IDs independent of displayed names.;Support renaming, localisation, software integration, and long-term data maintenance.;Core principle;Data model
DP-021;Uniform research cost;Every research attempt costs exactly 1 Research Point (RP), independent of technology tier, power, or complexity.;Keep the research economy simple and make technological difficulty emerge primarily from eligibility and progression rather than variable RP prices.;Established rule;Research economy
DP-022;RP represent discrete research opportunities;One RP represents one opportunity to attempt acquisition of one eligible technology. RP are not accumulated progress toward a technology.;Avoid progress-bar bookkeeping and preserve the discrete nature of technologies.;Established rule;Research economy
DP-023;RP are the core research resource;Research Points are the established resource used to conduct research attempts.;Provide a dedicated research-capacity economy separate from direct technology purchasing.;Established rule;Research economy
DP-024;Baseline RP conversion;The current baseline conversion is 5 IPC → 1 RP.;Establish a simple economic relationship between general spending and research capacity while retaining a parameter that can be balanced.;Current parameter;IPC economy, Research economy
DP-025;RP can be saved;Unspent RP carry over between turns.;Allow players to accumulate research capacity and choose when to commit it.;Established rule;Research economy
DP-026;Public RP, secret research targets;A player's available or committed RP are public information, while the technology targeted by a research attempt remains secret until resolution.;Create strategic information without revealing exact technological intentions.;Established rule;Research, Information
DP-027;Research assignment at turn start;RP are assigned to research attempts at the beginning of the player's turn, alongside normal unit purchases.;Establish a clear commitment point and prevent mid-turn reactionary research.;Established rule;Turn sequence
DP-028;Secret target selection;When an RP is assigned, the player secretly selects an eligible technology as its research target.;Preserve uncertainty and allow hidden technological intentions.;Established rule;Research secrecy
DP-029;Start-of-turn eligibility snapshot;Research eligibility is evaluated at the beginning of the turn and remains fixed for that turn's assignments.;Prevent newly acquired technologies from changing the validity of already-committed research.;Established constraint;Prerequisites, Turn sequence
DP-030;No same-turn research chains;Technologies acquired during the current turn cannot make additional technologies eligible for that turn's already-assigned research attempts.;Ensure multiple RP increase research breadth without bypassing technological depth.;Established constraint;Prerequisites, Research
DP-031;Multiple simultaneous research attempts;A player may assign multiple RP to different eligible technologies during the same turn.;Allow research capacity to increase breadth without imposing an arbitrary one-technology-per-turn restriction.;Established rule;Research economy
DP-032;Research resolves during deployment;Research attempts are resolved during the deployment phase, when their targets are revealed.;Separate research commitment from resolution and integrate research naturally into the turn sequence.;Established rule;Turn sequence
DP-033;Research failure on 1;"A research roll of 1 fails; the RP is lost and the targeted technology remains undisclosed.";Provide a simple failure state while preserving research secrecy.;Established rule;Research resolution
DP-034;Research success on 2–5;A research roll of 2–5 acquires the targeted technology and consumes the RP.;Establish the normal research outcome.;Established rule;Research resolution
DP-035;Breakthrough on 6;A research roll of 6 acquires the targeted technology while retaining the RP for the following round.;Provide an exceptional outcome that increases future research capacity without creating same-turn acceleration.;Established rule;Research resolution
DP-036;Breakthrough RP is delayed;An RP retained through a breakthrough becomes available for the following round and cannot immediately fund another attempt during the current turn.;Prevent breakthrough results from creating uncontrolled same-turn research acceleration.;Established constraint;Research resolution
DP-037;Research failure preserves secrecy;Failure does not reveal which technology was targeted.;Make failed research strategically meaningful without giving opponents free information.;Established rule;Research secrecy
DP-038;"Tree controls eligibility; economy controls capacity";The technology tree determines what a player is eligible to research, while the RP economy determines how many research attempts the player can make.;Clearly separate technological progression from research capacity.;Core architectural principle;Technology tree, RP economy
