ID;Domain_code;Tier;Domain;Name;Description;Type;Module;Category;Path;Unit;Flavour text;DepGroup1;DepGroup2;DepGroup3;DepGroup4;Remarks
A.1.01;A;1;Air;Improved Airframes;Fighters defend at +1 one round per battle.;Upgrade;CORE;;FIGHTER;Fighters;Small durability increase.;;;;;
A.1.02;A;1;Air;Air Transport Doctrine;Tactical Bombers may airlift 1 infantry unit per turn, in stead of bombing or attacking and drop it in friendly territory.;Upgrade;CORE;;INFANTRY;Tactical Bombers;Operational reach.;;;;;
A.1.03;A;1;Air;Zeppelin development;Can perform normal Tactical Bombing without the possibility to defend against by AAA;Unit;CORE;;AIRSHIP;Airship; ;;;;;
A.2.01;A;2;Air;Defensive Turrets;Bombers may fire defensively when intercepted.;Upgrade;CORE;;SBOMBER, TBOMBER, AIRSHIP;Tactical Bombers, Strategic Bombers;Survivability;;;;;
A.2.02;A;2;Air;Improved scramble (ATC);Scramble +6 (up to 3 may be allied).;Upgrade;CORE;;FIGHTER;Fighters;;A.1.01;;;;
A.2.03;A;2;Air;Bombing Calibration;Strategic bombing ignores first 1 damage rolled.;Upgrade;CORE;KEYSTONE;NUCLEAR, SBOMBER, AIRSHIP;Strategic Bombers;Consistency;;;;;
A.2.04;A;2;Air;Strategic Airship Movement;Can perform normal Strategic Bombing without the possibility to defend against by AAA;Upgrade;CORE;;AIRSHIP;Airship;;A.1.03;;;;
A.3.01;A;3;Air;Air Research Center;Enables Research for Air Units;Facility;CORE;RCENTER;NUCLEAR, SBOMBER, TBOMBER, AIRSHIP, INFANTRY, FIGHTER;Research Center;;X.A.02;;;;
A.4.01;A;4;Air;Long-Range Aircraft;All aircraft gain +1 movement.;Upgrade;CORE;KEYSTONE;NUCLEAR, SBOMBER, TBOMBER, AIRSHIP;Aircraft;;A.2.01;A.2.03;;;
A.4.02;A;4;Air;Advanced Fighter Development;"During bombing raids your escorting or intercepting fighters now hit on a “1” or “2” instead of just a “1”.
Optional OIL: if fighters are present in battle first battle costs no oil.";Upgrade;CORE;;FIGHTER;Fighters;;A.2.02;E.3.02;;;
A.4.03;A;4;Air;Paratroopers;Up to two infantry can be picked up by a Tactical bomber and dropped off to join combat even if the Tactical bomber is joining this or another combat (limited only by the legal move of the Tactical Bomber);Upgrade;CORE;;TBOMBER, INFANTRY;Tactical Bombers;;A.1.02;;;;
A.4.04;A;4;Air;Carpet Bombing;Bombing on troops: If the attacking army has AAA, they will defend. Every hit removes one troop from the battle.;Upgrade;CORE;;SBOMBER, TBOMBER, AIRSHIP;Tactical Bombers, Strategic Bombers;;A.2.03;;;;
A.5.01;A;5;Air;Jet Engine Theory;Fighters attack at +1.;Upgrade;CORE;;FIGHTER;Fighters;High-risk spike.;I.4.02;A.4.02;;;
A.5.02;A;5;Air;Engine Optimization;Tactical bombers may perform bombing + combat in same turn if movement allows.;Upgrade;CORE;;TBOMBER;Tactical Bombers;Operational flexibility.;A.4.01|A.4.04;;;;
A.5.03;A;5;Air;Heavy Bomber Design;Your strategic bombers are now heavy bombers. When attacking, whether in a battle or a strategic bombing raid, roll two dice for each bomber and select the best result.;Upgrade;NUCLEAR;;NUCLEAR;Flying Fortress;Controlled power.;F.4.03;A.4.01;;;
A.5.04;A;5;Air;Heavy Strategic Bombing Doctrine;Strategic Bombing now hits on a +1;Upgrade;CORE;;SBOMBER, AIRSHIP;Strategic Bombers;;A.4.01|A.4.04;;;;
A.6.01;A;6;Air;Early Jet Fighters;The attack value of your fighters is now 4 instead of 3. ;Upgrade;CORE;;FIGHTER;Jet Fighters;;A.5.01;F.5.02;;;
A.6.02;A;6;Air;Under the cover of the night;Strategic Bombing Raids now have two rolls for Strategic bombers;Upgrade;CORE;;SBOMBER, AIRSHIP;Strategic Bombers;;A.5.04;;;;
A.6.03;A;6;Air;Under the Radar;Tactical bombing raids now have two dice per plane.;Upgrade;CORE;;TBOMBER, AIRSHIP;Tactical Bombers;;A.5.02;;;;
A.6.04;A;6;Air;Flying Fortress Capability;Strategic bombers ignore first interceptor hit. Enables atomic delivery: A5/D2/M8/C15;Unit;NUCLEAR;;NUCLEAR;Flying Fortress;;E.4.05;A.5.03;E.5.03;;
E.0.01;E;0;Energy And Physics;Basic Research Facility;Unlocks tier 1 & 2 tech;Facility;CORE;RCENTER;;Research Center;No inherent bonus — structural gate only.;;;;;
E.1.01;E;1;Energy And Physics;Early Radar;AAA (both from facilities and units) hit on 1–2 instead of 1.;Upgrade;CORE;;INFANTRY, AAA;AAA;Small air deterrent;;;;;
E.1.02;E;1;Energy And Physics;Heavy Water Chemistry;Allows Heavy Water Facility construction, which produces 1 Heavy Water Resource per turn.;Facility;NUCLEAR;;NUCLEAR;Heavy Water Facility;;;;;;
E.1.03;E;1;Energy And Physics;Improved AA Procedures;Each AAA may fire at +1 additional target.;Upgrade;CORE;;AAA;AAA;Not stronger — just broader coverage.;;;;;
E.1.04;E;1;Energy And Physics;Basic Drilling;Oil Derricks cost -1, IPC Build time unaffected, Oil Platforms become available.;Bonus;OIL;;OIL;;Encourages expansion gameplay;;;;;
E.1.05;E;1;Energy And Physics;Improved Refining;+1 Oil from one controlled oil territory per turn;Bonus;OIL;;OIL;;Flexible boost, great for all nations;;;;;
E.2.01;E;2;Energy And Physics;Integrated Air Defense Network;AAA may reroll one miss per battle.;Upgrade;CORE;;AAA;AAA;;E.1.01|E.1.03;;;;
E.2.02;E;2;Energy And Physics;Reactor Theory;Enables Nuclear Reactor research.;Tech;NUCLEAR;;NUCLEAR, TANK;;;;;;;
E.2.03;E;2;Energy And Physics;Radar Wave Theory;All fighters intercept at +1.;Upgrade;CORE;;FIGHTER, INFANTRY;Fighters;;E.1.01;;;;
E.2.04;E;2;Energy And Physics;Synthetic Fuel Production;Synthetic Oil Plant available to build. Use it to cnvert 3 IPC → 1 Oil. Max: 3 oil per turn.;Facility;OIL;;OIL;Synthetic Oil Plant;Essential for Germany-type situations;;;;;
E.2.05;E;2;Energy And Physics;Advanced Drilling;All oil pumps produce +1 Oil (max +50% rounding down);Bonus;OIL;;OIL;;Huge for Middle East / DEI;E.1.04;;;;
E.3.01;E;3;Energy And Physics;Energy & Physics Institute;Enables Research for Rockets and Atomic Bomb;Facility;CORE;RCENTER;NUCLEAR, FIGHTER, TANK, RAIL, SUBS, BATTLESHIP, ROCKET;Research Center;;;;;;
E.3.02;E;3;Energy And Physics;Advanced Metallurgy;Required for Jets, Rockets, Flying Fortress. It is now also possible to produce a aluminium factory, which produces 1 Aluminium resource per turn.;Facility;CORE;KEYSTONE;NUCLEAR, FIGHTER, ROCKET;Aluminium factory;;;;;;
E.4.01;E;4;Energy And Physics;Reactor Engineering;Required for Atomic Program & Nuclear Subs.;Tech;CORE;KEYSTONE;NUCLEAR, TANK;;;E.3.01;E.2.02;;;
E.4.02;E;4;Energy And Physics;Rocket Propulsion Theory;May build Rocket sites (counts as base), which is able to build rockets. During the Strategic and Tactical Bombing Raids step of your Conduct Combat phase each turn, each of your operative rocket sites can make a single rocket attack against an enemy facility within 4 spaces of it. This attack does one die roll of damage to that facility. Rockets may not be fired over neutral territories.;Base;CORE;KEYSTONE;NUCLEAR, ROCKET;Rocket Site;;E.3.01;E.3.02;;;
E.4.03;E;4;Energy And Physics;Synthetic Oil Expansion;Convert 2 IPC → 1 Oil: No per-turn cap;Bonus;OIL;;OIL;;Late-game industrial monster (USA/Germany);E.2.04;;;;
E.4.04;E;4;Energy And Physics;Offshore Extraction;Advanced oil platforms produce 2 Oil instead of 1 per turn.;Upgrade;OIL;;OIL;Oil Platform;Turns sea control into economic power;E.1.04;;;;
E.4.05;E;4;Energy And Physics;Heavy Armor Production;Required for Submarines, Capital ships and Tanks. It is now also possible to build a steel factory, which produces 1 Steel resource per turn.;Facility;CORE;KEYSTONE;NUCLEAR, RAIL, SUBS, BATTLESHIP;Steel Factory;;;;;;
E.5.01;E;5;Energy And Physics;Uranium Processing;Allows Nuclear Reactor construction.;Facility;NUCLEAR;KEYSTONE;NUCLEAR, TANK;Nuclear Reactor;;E.4.01;;;;
E.5.02;E;5;Energy And Physics;Rocket Development Program;Your air bases can now launch rockets.  Rockets have a range of +2.;Unit;CORE;KEYSTONE;NUCLEAR, ROCKET;Rockets;;F.4.03;E.4.02;;;
E.5.03;E;5;Energy And Physics;Strategic Payload Integration;Enables delivery capabilities of Atomic bomb (prereq for Flying fortress, Nuclear Sub, Nukes);Tech;CORE;KEYSTONE;NUCLEAR;;Gateway tech;E.4.01|E.4.02;;;;
E.5.04;E;5;Energy And Physics;Recycle Station;Remove existing units from board within same space as shipyards or factories in order to obtain X amount of aluminium/steel per unit type.;Upgrade;CORE;;NUCLEAR, FIGHTER, ROCKET, NUCLEAR, RAIL, SUBS, BATTLESHIP;Industrial Complex, Naval port, Seaplane base;;E.3.02|E.4.05;;;;
E.6.01;E;6;Energy And Physics;Advanced Ballistics;Rockets hit on 1–2.;Upgrade;CORE;;ROCKET;Rockets;;E.5.02;;;;
E.6.02;E;6;Energy And Physics;Nuclear Delivery;Nuclear warheads capability on rockets. Buy unarmed Nukes for 15 IPC.;Unit;NUCLEAR;;NUCLEAR;Nukes;;E.5.02|E.5.03;;;;
E.6.03;E;6;Energy And Physics;Nuclear Reactor;Placeholder for dependency on Nuclear Reactor;Facility;NUCLEAR;;NUCLEAR;Nuclear Reactor;;E.5.01;;;;
E.7.01;E;7;Energy And Physics;Cruise Missile Doctrine;Nukes have a range of 10 spaces (M10);Upgrade;NUCLEAR;;NUCLEAR;Nukes;;E.6.02;;;;
F.0.01;E;0;Energy And Physics;Oil Derrick;Build an Oil Derrick for 6 IPC in an oil producing territory to start producing the mentioned amount of oil each turn. Available from the start.;Facility;OIL;;OIL;Oil Derrick;Every power has this capability.;;;;;
F.1.01;F;1;Logistics And Industry;Seaplane base;An airfield and naval port at the same time and counts as both. Cost = 20 IPC.;Base;CORE;;PRODUCTION;Seaplane base;;;;;;
F.1.02;F;1;Logistics And Industry;War Bonds Campaign;During your Collect Income phase, roll a d6 and collect that many additional IPCs.;Bonus;CORE;;NUCLEAR, CARRIER, FIGHTER, PRODUCTION, BATTLESHIP, INFANTRY, ROCKET;;Stable minor economy boost.;;;;;
F.1.03;F;1;Logistics And Industry;Port Efficiency;New naval units may move 1 sea zone after being placed during mobilization (non-combat only).;Bonus;CORE;;PRODUCTION;;Faster deployment tempo.;;;;;
F.1.04;F;1;Logistics And Industry;Lendlease;Can buy troops for allies during your own P&R phase (units will be your units in command of chosen ally).;Bonus;CORE;;RAIL, PRODUCTION;;;;;;;
