ID;Cluster;Tier;Domain;Name;Description;Type;Unit;Category;Flavour text;Dependency1;Dependency2;Dependency3;Dependency4;Remarks
A.1.01;A;1;Air;Improved Airframes;Fighters defend at +1 one round per battle.;Upgrade;Fighters;;Small durability increase.;;;;;
A.1.02;A;1;Air;Air Transport Doctrine;Tactical Bombers may airlift 1 infantry unit per turn, in stead of bombing or attacking and drop it in friendly territory.;Upgrade;Tactical Bombers;;Operational reach.;;;;;
A.1.03;A;1;Air;Zeppelin;Can perform normal Tactical Bombing without the possibility to defend against by AAA;Unit;Airship;; ;;;;;
A.2.01;A;2;Air;Defensive Turrets;Bombers may fire defensively when intercepted.;Upgrade;Bombers;;Survivability;X.A.1;;;;
A.2.02;A;2;Air;Improved scramble (ATC);Scramble +6 (up to 3 may be allied).;Upgrade;Fighters;;;;A.1.01;;;
A.2.03;A;2;Air;Bombing Calibration;Strategic bombing ignores first 1 damage rolled.;Upgrade;Strategic Bombers;;Consistency;X.A.1;;;;
A.2.04;A;2;Air;Zeppelin mk2;Can perform normal Strategic Bombing without the possibility to defend against by AAA;Upgrade;Airship;;;;A.1.03;;;
A.3.01;A;3;Air;Air Research Center;Enables Research for Air Units;Facility;Research Center;;;X.A.2;;;;
A.4.01;A;4;Air;KEYSTONE: Long-Range Aircraft;All aircraft gain +1 movement.;Upgrade;Aircraft;KEYSTONE;;A.3.01;A.2.01;A.2.03;;
A.4.02;A;4;Air;KEYSTONE: Advanced Fighter Development;"During bombing raids your escorting or intercepting fighters now hit on a “1” or “2” instead of just a “1”.
Optional OIL: if fighters are present in battle first battle costs no oil.";Upgrade;Fighters;KEYSTONE;;A.3.01;A.2.02;E.3.02;;
A.4.03;A;4;Air;Paratroopers;Up to two infantry can be picked up by a Tactical bomber and dropped off to join combat even if the Tactical bomber is joining this or another combat (limited only by the legal move of the Tactical Bomber);Upgrade;Tactical Bombers;;;A.3.01;A.2.04;;;
A.4.05;A;4;Air;Carpet Bombing;Strategic Bombing on troops: If the attacking army has AAA, they will defend. Every hit removes one troop from the battle;;;;;A.3.01;A.2.03;;;
A.5.01;A;5;Air;Jet Engine Theory;Fighters attack at +1.;Upgrade;Fighters;;High-risk spike.;I.4.02;A.4.02;;;
A.5.02;A;5;Air;Engine Optimization;Tactical bombers may perform bombing + combat in same turn if movement allows.;Upgrade;Tactical Bombers;;Operational flexibility.;;A.4.01;;;
A.5.03;A;5;Air;Heavy Bomber Design;Your strategic bombers are now heavy bombers. When attacking, whether in a battle or a strategic bombing raid, roll two dice for each bomber and select the best result.;Upgrade;Strategic Bombers;;Controlled power.;F.4.03;A.4.01;;;
A.5.04;A;5;Air;Heavy Strategic Bombing Doctrine;Strategic Bombing now hits on a +1;Upgrade;Strategic Bombers;;;;A.4.02;;;
A.6.01;A;6;Air;Early Jet Fighters;The attack value of your fighters is now 4 instead of 3. ;Upgrade;Fighters;;;E.3.02;A.5.01;;;
A.6.02;A;6;Air;Under the cover of the night;Strategic Bombing Raids now have two rolls for Strategic bombers and Tactical bomber may join;Upgrade;Bombers;;;;A.5.04;;;
A.6.03;A;6;Air;Under the Radar;Tactical bombing raids now have two dice per plane.;Upgrade;Tactical Bombers;;;;A.5.02;;;
A.6.04;A;6;Air;Flying Fortress Capability;Strategic bombers ignore first interceptor hit. Enables atomic delivery.A5/D2/M8/C15;Unit;Flying Fortress;;;E.3.03;A.5.03;E.5.03;;Cross-domain
E.0.01;E;0;Energy And Physics;Basic Research Facility;Unlocks tier 1 & 2 tech;Facility;Research Center;;No inherent bonus — structural gate only.;;;;;Cross-domain
