ID;Family;Rule;Description;Status;Source;Related Data;Open Field / Issue
RES-001;RES;Research Points;RP are the resource used for research attempts.;Established;Design Principles DP-023;Research economy;—
RES-002;RES;Uniform research cost;Every research attempt costs exactly 1 RP.;Established;Design Principles DP-021;Research economy;—
RES-003;RES;RP conversion;Current baseline conversion is 5 IPC → 1 RP.;Parameter;Design Principles DP-024;IPC economy;Balance parameter
RES-004;RES;RP carry-over;Unspent RP carry over between turns.;Established;Design Principles DP-025;Research economy;—
RES-005;RES;Research assignment;RP are assigned at the beginning of the player's turn alongside normal purchases.;Established;Design Principles DP-027;Turn sequence;—
RES-006;RES;One RP, one target;Each assigned RP targets one eligible technology.;Established;Design Principles DP-022/028;Tech List;—
RES-007;RES;Secret target;The targeted technology remains secret until resolution.;Established;Design Principles DP-026/028;Research secrecy;—
RES-008;RES;Public RP commitment;Available/committed RP are public while targets remain secret.;Established;Design Principles DP-026;Research secrecy;—
RES-009;RES;Research resolution;Research attempts resolve during Deployment.;Established;Design Principles DP-032;Turn sequence;—
RES-010;RES;Failure;Roll of 1 fails and the RP is lost.;Established;Design Principles DP-033;Research resolution;—
RES-011;RES;Failure secrecy;A failed research target remains undisclosed.;Established;Design Principles DP-033/037;Research secrecy;—
RES-012;RES;Normal success;Roll of 2–5 acquires the targeted technology and consumes the RP.;Established;Design Principles DP-034;Research resolution;—
RES-013;RES;Breakthrough;Roll of 6 acquires the technology while retaining the RP.;Established;Design Principles DP-035;Research resolution;—
RES-014;RES;Delayed breakthrough RP;Retained RP becomes available only in the following round.;Established;Design Principles DP-036;Research resolution;—
RES-015;RES;Multiple attempts;Multiple RP may be assigned to different eligible technologies in one turn.;Established;Design Principles DP-031;Research economy;—
ELG-016;ELG;Eligibility requirement;A technology must be eligible before it can be selected.;Established;Design Principles DP-008/038;Tech List;—
ELG-017;ELG;Technology prerequisites;Dependencies determine research eligibility.;Established;Design Principles DP-008/012;Tech List dependency groups;—
ELG-018;ELG;OR dependencies;Alternatives within a dependency group are OR requirements.;Established;Design Principles DP-012;DepGroup1–4;—
ELG-019;ELG;AND dependencies;Separate dependency groups are combined as AND requirements.;Established;Design Principles DP-012;DepGroup1–4;—
ELG-020;ELG;Start-of-turn snapshot;Eligibility is evaluated at turn start and remains fixed for that turn's assignments.;Established;Design Principles DP-029;Turn sequence;—
ELG-021;ELG;No same-turn chains;Newly acquired technology cannot create additional eligibility for already-assigned attempts.;Established;Design Principles DP-030;Research;—
ELG-022;ELG;Research Centre gate;A Research Centre may be required for specific technologies.;Established;Facility Rules FAC-006;`RCENTER`, Tech List;Exact gate semantics
ELG-023;ELG;Other facilities are not prerequisites;Facilities other than Research Centres do not themselves function as tech prerequisites.;Established;Facility Rules FAC-007;Facility classifications;—
ELG-024;ELG;Facility possession is not dependency;Possession of a physical facility normally does not replace its technology dependency.;Established;Facility Rules FAC-010;Tech List, Facilities;—
ELG-025;ELG;National eligibility;National restrictions may form part of eligibility.;Established architecture;Tech List;Nation/module fields;General syntax
ELG-026;ELG;Module eligibility;Module-specific eligibility may apply when enabled.;Established architecture;Design Principles DP-001/017;Module;Activation rules
