ID;Rule;Description;Status
FAC-001;Facilities & bases are physical game pieces;Facilities & bases are physical installations represented by game pieces and placed on the map. They are subject to territorial control and physical game interactions.;Established
FAC-002;Distinct facility types;The system contains distinct facility types with individually defined functions, including Research Facilities and Bases.;Established
FAC-003;Research Facilities;Research Facilities are physical infrastructure analogous in principle to Industrial Complexes and can be subject to strategic bombing and damage.;Established
FAC-004;Bases;Bases are military installations providing operational capabilities. It is physical infrastructure analogous in principle to Airfields and Naval Bases and provide their individually defined operational effects.;Established
FAC-005;Research Centre classification;Research Centres are identified separately as `RCENTER` and constitute a specialised facility class within the data model.;Established
FAC-006;Research Centre prerequisites;A Research Centre may be required for eligibility to research specific technologies.;Established
FAC-007;Other facilities are not prerequisites;Facilities other than Research Centres do not themselves function as prerequisites for researching technologies.;Established
FAC-008;Technology unlocks facilities;A technology may unlock the ability to build or purchase a specific facility or base.;Established
FAC-009;Facility unlock ≠ construction;Unlocking a facility gives the player the ability to build or purchase it, it does not automatically place the physical facility on the map.;Established
FAC-010;Technology remains the dependency;If a facility unlocked by Technology A enables a later technological development, the later technology depends on Technology A rather than on possession of the physical facility.;Established
FAC-011;Facilities have individual functions;The gameplay effect of a facility is determined by its individual rules/description rather than by a universal facility effect.;Established
FAC-012;Facility damage;Facilities can be damaged by applicable game effects, including strategic bombing, according to their individual rules.;Established
FAC-013;Damage affects operation;Damage affects the operational capability of a facility according to its rules.;Established
FAC-014;Damage does not remove technology;Damaging or disabling a facility does not remove the technology that unlocked it.;Established
FAC-015;Facility ownership;Facilities are associated with the territory in which they are located and are subject to applicable ownership/capture rules.;Established
FAC-016;Facility construction is separate;The technological unlock, purchase/construction, placement, and subsequent operation of a facility are separate game events.;Established
FAC-017;No universal RP generation;Facilities do not inherently generate Research Points merely because they are facilities. RP generation must be explicitly defined by the facility's own rules.;Established
FAC-018;Research Centres may generate RP;A Research Centre may provide RP or other research-related effects when explicitly specified by its individual rules.;Established
FAC-019;Facility effects survive technological ownership;Possession or loss of a physical facility does not change whether its associated technology has been researched.;Established
FAC-020;Facility rules are data-driven;Facility type, category, unlock relationship, description, and other properties should be represented in the canonical data rather than hardcoded into visualisation logic.;Established
FAC-021;Facility costs are individually defined;Each facility has its own purchase/build cost. The cost is determined independently from the technology's research cost and may reflect the strategic power and usefulness of the facility.;Established
FAC-022;Facility cost reflects capability;More powerful, specialised, or strategically significant facilities may have higher costs than more ordinary facilities.;Design rule / balancing principle
FAC-023;Technology cost and facility cost are separate;Researching a technology and subsequently constructing/purchasing a facility it unlocks are separate economic decisions with separate costs.;Established
FAC-024;Facilities are not technology nodes;A facility unlocked by a technology is represented as a physical game piece rather than as a separate technology node. A facility should not be duplicated as a technology solely to represent a dependency.;Established
FAC-025;Unique facility type per territory;A territory may contain at most one facility of each facility type.;Established
FAC-026;Facility and Base bombing distinction;Facilities and Bases are both physical installations. Facilities can be targeted by Strategic Bombing raids. Bases can be targeted by both Tactical Bombing and Strategic Bombing raids.;Established
FAC-027;Base damage and inoperative state;A base is considered inoperative if it has 3 or more damage points. Damage reduces or disables the base's abilities according to the applicable base rules, those abilities return as the damage is repaired.;Established
FAC-028;Research Centre establishment bonus;When a Research Centre is first purchased, it immediately unlocks access to the applicable Tier 4+ technologies and provides a one-time establishment bonus appropriate to its research domain.;Current Design
