ID;Principle; Decision;Status
ZDP-001;AAZ as mechanical baseline;The Zombie module uses *Axis & Allies & Zombies* as its mechanical baseline, adapting it only where Global 1940's scale, existing systems, or map require it.;Established
ZDP-002;Optional and integrable module;The Zombie module can function as an optional standalone module and can interact with the R&D system when both are enabled.;Established
ZDP-003;Dedicated Global Zombie deck;Global 1940 uses an adapted Zombie deck rather than directly porting the 1942 AAZ deck.;Established direction
ZDP-004;Preserve the AAZ loop, expand the event variety;The Global deck should retain the core AAZ mechanics while providing greater variety appropriate to the larger/longer Global game.;Established direction
ZDP-005;State-driven randomness;Randomness should primarily come from card draws and game-state-driven effects rather than arbitrary random territory selection.;Established design principle
ZDP-006;Strategic-context interaction;Zombie events should preferentially interact with meaningful conditions on the actual Global map, such as units, factories, capitals, or recent combat.;Established design philosophy
ZDP-007;Contextual R&D benefits;Existing R&D technologies may provide additional contextual benefits when the Zombie module is active.;Established
ZDP-008;Limited dedicated Zombie research;Dedicated Zombie technologies should remain limited and complementary to the main R&D tree rather than becoming a parallel military technology system.;Established direction
ZDP-009;Interacting layers;Zombie events, Desperate Measures, existing R&D technologies, and dedicated Zombie research should be capable of interacting, while their precise relationships are determined separately.;Established design philosophy
ZDP-010;Desperate Measures relationship remains open;The relationship between Desperate Measures and R&D is deliberately unresolved pending examination of the original AAZ cards.;Open decision
